,CAGR,Volatility,Sharpe,Max Drawdown
RELIANCE,0.13726354920435258,0.27571007908266415,0.4978546655278346,-0.4508807565063212
TCS,0.17729975957927402,0.24897900997666172,0.7121072559325117,-0.28165675278210656
HDFCBANK,0.1692423540720358,0.2343231041502835,0.7222606353127344,-0.41054975429975427
ICICIBANK,0.1512026559268269,0.32198803598737746,0.46959091341131176,-0.5235149223807074
BHARTIARTL,0.11543094124125353,0.30963935363589473,0.3727915715035011,-0.4746915597679544
SBIN,0.09544059107136138,0.3338848889035115,0.28584878873911096,-0.5949248120300759
INFY,0.118015032766561,0.27307817755684505,0.4321657403107376,-0.38995358242566247
LICI,0.07219528592383861,0.31127472744117424,0.2319342997014826,-0.3931077765732882
ITC,0.1192939923159666,0.24850921486153146,0.48003850634849426,-0.5700729927007309
HINDUNILVR,0.16890724970323934,0.23578156862167368,0.7163717278268753,-0.30880548987537493
LT,0.11459201044881073,0.2861285817508492,0.40049130970282953,-0.5564536340852132
BAJFINANCE,0.44765435696403677,0.3560449542140934,1.2572972925628312,-0.625239475868004
HCLTECH,0.21254989553438897,0.28094248417557344,0.756560176927734,-0.3497643940509497
MARUTI,0.15213002672427822,0.2834864798105396,0.5366394433552886,-0.5920141978855729
SUNPHARMA,0.17522373736201313,0.2840082540160737,0.6169670595281227,-0.7224835371589851
ADANIENT,0.30099707003207077,0.5208812092034988,0.5778612564894363,-0.8274227676682183
KOTAKBANK,0.16358207266332037,0.2789563956585784,0.5864073210335443,-0.3649898814686321
TITAN,0.30202703595944835,0.3255303663109532,0.9277998835627703,-0.41730020734058415
ONGC,0.026246448068240724,0.32905857687710643,0.07976223661248918,-0.8067197113681026
TATAMOTORS,0.1324434260307099,0.4079131741915337,0.32468533602330213,-0.8908264089746374
NTPC,0.04769186220997024,0.2641625971491077,0.18053979906568815,-0.6064290129816612
AXISBANK,0.13755982950444845,0.34444151282983454,0.3993706460475557,-0.6315629557608168
DMART,0.3197462393256334,0.32235842628208966,0.9918966382030592,-0.3931721061281994
ADANIGREEN,0.9435402977944201,0.5644192643671146,1.671701087049917,-0.8444032991078941
ADANIPORTS,0.19636013042600986,0.38787758535462047,0.5062425307368197,-0.5369359331476332
ULTRACEMCO,0.18751872557667548,0.2708229563611893,0.6924033623153674,-0.3765608700591817
ASIANPAINT,0.2127396763271754,0.25271173600994923,0.8418274500666635,-0.28855005753739904
COALINDIA,0.026771734172486683,0.30478217167410937,0.08783891139509487,-0.7506765899864676
BAJAJFINSV,0.29952351452559833,0.3442617668779931,0.8700458294915738,-0.5858887024721554
BAJAJ-AUTO,0.18066946587834676,0.2561432967003963,0.705345282135846,-0.43288064577564955
POWERGRID,0.12281056139150892,0.24395239836729532,0.5034201844845364,-0.3620771046420139
NESTLEIND,0.11552621648625205,0.2702843645537002,0.42742471129253673,-0.527691869841571
WIPRO,0.08862780518040081,0.26014422231348205,0.3406871941733977,-0.5063063063063067
M&M,0.17360155996973647,0.3019395289895668,0.5749547286858724,-0.7265843370432492
IOC,0.08501207205808692,0.3109583060700609,0.2733873654397035,-0.6852939235996571
JIOFIN,0.49219328577483923,0.4011765051649527,1.2268746535205568,-0.18996275240148974
HAL,0.4366544875841072,0.3737943518091999,1.168167698282915,-0.5825071870371994
DLF,0.058590297541915914,0.4529940420729003,0.1293401062711703,-0.7964701464513712
ADANIPOWER,0.14533943832597784,0.5095916081129388,0.2852076761314461,-0.892221834670387
JSWSTEEL,0.1663983686742363,0.3719905043119306,0.4473188609532459,-0.6629310344827586
TATASTEEL,0.07598784489487831,0.36593537636735063,0.20765372741277843,-0.7183959451401314
SIEMENS,0.19640172905803777,0.3036122021330815,0.6468835167960395,-0.5557791073224956
IRFC,0.8072958491079534,0.429014126933073,1.8817465403275473,-0.2906080502426487
VBL,0.5120291661528111,0.35146126501877745,1.4568580299324168,-0.3768668573244358
ZOMATO,0.18470204802408396,0.5244592416295664,0.35217617187980044,-0.740174672489083
PIDILITIND,0.26984430961527694,0.2564015292411365,1.0524286279178077,-0.28465950875128676
GRASIM,0.14355215653634024,0.2834144112791518,0.5065097285929724,-0.6906693160913743
SBILIFE,0.12085493611343523,0.278542885536526,0.4338826887667437,-0.4684280573766446
BEL,0.2130059550514789,0.3441296342499328,0.6189701026932716,-0.69079365079365
LTIM,0.2938707898863602,0.33006065497903897,0.8903538954227153,-0.4943366284259597
TRENT,0.3465620154026845,0.3348720087429135,1.0349088796751167,-0.49318424524153504
PNB,-0.027889593588081296,0.4081629606664469,-0.06832955528973839,-0.9039988450988885
INDIGO,0.20249061383744493,0.38518316615941467,0.5256995414842214,-0.5465033207207686
BANKBARODA,0.06961629026514582,0.4063437713223173,0.17132363082274307,-0.8381948754322187
HDFCLIFE,0.08927445382570531,0.3064419602867642,0.2913258149835731,-0.46191935864182954
ABB,0.1901192859330587,0.3258980641607427,0.5833704057821165,-0.5297550800961275
BPCL,0.1268481284909604,0.3443864535781273,0.36833077251740304,-0.526195564070445
PFC,0.1207638211941191,0.40920676462391165,0.2951168739967169,-0.7423804519180248
GODREJCP,0.20636417983477862,0.31111501465556496,0.6633051126228805,-0.5516475570705508
TATAPOWER,0.08535576048317672,0.34175845875872374,0.249754638972774,-0.8101133755303612
HINDALCO,0.10535128692238382,0.4008521789252323,0.2628182967717737,-0.7577083747762081
HINDZINC,0.12794707883816958,0.34523861096578434,0.3706047781858619,-0.6221787541378277
TECHM,0.1276595831910432,0.30325861900256607,0.42095945569798626,-0.5324004078618882
AMBUJACEM,0.1373068521566858,0.3194144141141716,0.42987055714901706,-0.5174861495844871
INDUSINDBK,0.17233901128447804,0.39055252234739884,0.4412697433078705,-0.8510664590593412
CIPLA,0.108787893248522,0.2585327456544311,0.4207896101251863,-0.4933747971876692
GAIL,0.075255609580817,0.3118217537661024,0.2413417558970766,-0.6475203778471847
RECLTD,0.13499896417730306,0.40091307966375084,0.33672875998589974,-0.6321547295255365
BRITANNIA,0.27319933140653174,0.2543528614340127,1.0740957654899763,-0.3803459060250953
UNIONBANK,-0.04537041234815686,0.44898314487974234,-0.10105148236758214,-0.9453218473318975
ADANIENSOL,0.2726258178901717,0.5575152574206372,0.4890015371982537,-0.25126282351715934
IOB,-0.03954313888602823,0.421469550478026,-0.09382205390918241,-0.961349870204788
LODHA,0.7993295277250785,0.4838459616812646,1.6520330663659437,-0.5171765968867426
EICHERMOT,0.3404013664835577,0.32832458149302085,1.0367830667311566,-0.6141409530765012
CANBK,0.029177073821323507,0.4253490141666911,0.06859560701812097,-0.9064535955746774
TATACONSUM,0.1867107165151276,0.3143399652247492,0.5939770222397007,-0.4481964696853412
DRREDDY,0.12758545833283486,0.25912126440999766,0.49237741496568677,-0.5645758579446137
TVSMOTOR,0.338508829169204,0.3693934616563794,0.9163909606069174,-0.6777912234889497
ZYDUSLIFE,0.1942634420156284,0.30110174297621745,0.6451754151120019,-0.6105799872530274
ATGL,0.5456016870043827,0.5751865919649091,0.948564682532914,-0.8646048636096864
VEDL,0.009376326574588756,0.43829266375686493,0.02139284398287375,-0.8745541628452047
CHOLAFIN,0.3787645531757049,0.40293778194174285,0.9400075399989845,-0.6494300726406155
HAVELLS,0.2789119498935386,0.320733922027379,0.8696053979277244,-0.42176485397784447
HEROMOTOCO,0.084518573238201,0.28619078376201706,0.29532248427846897,-0.6163202805665673
DABUR,0.14915829296789074,0.23916698723043073,0.6236575318991701,-0.2589647526569311
SHREECEM,0.19967942623887436,0.28554153123856685,0.6993008175474283,-0.43160754360407894
MANKIND,0.42259187989337543,0.32441570645500867,1.3026246001192987,-0.13998040482791696
BAJAJHLDNG,0.20511912908559315,0.2876004263828344,0.7132087099639843,-0.6092217470357759
